Airline_Name,Airport_Name,Avg_Delay
"Alaska Airlines Inc.: AS","Santa Barbara, CA: Santa Barbara Municipal",22.7000
"American Airlines Inc.: AA","Mission/McAllen/Edinburg, TX: McAllen Miller International",22.4079
"Delta Air Lines Inc.: DL","South Bend, IN: South Bend International",41.8571
"ExpressJet Airlines LLC: EV","Buffalo, NY: Buffalo Niagara International",33.0889
"Frontier Airlines Inc.: F9","Bismarck/Mandan, ND: Bismarck Municipal",29.4615
"Hawaiian Airlines Inc.: HA","Portland, OR: Portland International",15.6667
"JetBlue Airways: B6","Seattle, WA: Seattle/Tacoma International",28.3986
"SkyWest Airlines Inc.: OO","Jacksonville, FL: Jacksonville International",42.5000
"Southwest Airlines Co.: WN","Newark, NJ: Newark Liberty International",15.9501
"Spirit Air Lines: NK","Charlotte Amalie, VI: Cyril E King",37.1111
"United Air Lines Inc.: UA","Knoxville, TN: McGhee Tyson",43.1379
"Virgin America: VX","Kahului, HI: Kahului Airport",32.6667
