Airport_Name,Reason_Description,Reason_Count
"Adak Island, AK: Adak",Weather,1
"Akron, OH: Akron-Canton Regional",Weather,1
"Albuquerque, NM: Albuquerque International Sunport",Carrier,2
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,1
"Anchorage, AK: Ted Stevens Anchorage International",Weather,12
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,4
"Asheville, NC: Asheville Regional",Weather,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,4
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,10
"Atlantic City, NJ: Atlantic City International",Carrier,1
"Augusta, GA: Augusta Regional at Bush Field",Carrier,1
"Austin, TX: Austin - Bergstrom International",Carrier,5
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,12
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,3
"Bellingham, WA: Bellingham International",Weather,4
"Bend/Redmond, OR: Roberts Field",Weather,3
"Bethel, AK: Bethel Airport",Weather,2
"Billings, MT: Billings Logan International",Weather,1
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,2
"Boise, ID: Boise Air Terminal",Weather,3
"Boston, MA: Logan International",Carrier,24
"Bozeman, MT: Bozeman Yellowstone International",Weather,2
"Brainerd, MN: Brainerd Lakes Regional",Weather,1
"Buffalo, NY: Buffalo Niagara International","National Air System",2
"Burbank, CA: Bob Hope",Carrier,19
"Butte, MT: Bert Mooney",Weather,3
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Carrier,1
"Charleston, SC: Charleston AFB/International",Carrier,2
"Charlotte, NC: Charlotte Douglas International",Carrier,4
"Charlottesville, VA: Charlottesville Albemarle",Weather,4
"Chattanooga, TN: Lovell Field",Carrier,1
"Chicago, IL: Chicago Midway International",Weather,34
"Chicago, IL: Chicago O'Hare International",Weather,30
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,3
"Cleveland, OH: Cleveland-Hopkins International",Carrier,3
"Cody, WY: Yellowstone Regional",Weather,5
"Colorado Springs, CO: City of Colorado Springs Municipal",Weather,2
"Columbia, SC: Columbia Metropolitan",Carrier,1
"Columbus, OH: John Glenn Columbus International",Carrier,2
"Columbus, OH: John Glenn Columbus International",Weather,2
"Cordova, AK: Merle K Mudhole Smith",Carrier,1
"Dallas, TX: Dallas Love Field",Carrier,14
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Carrier,4
"Deadhorse, AK: Deadhorse Airport",Weather,2
"Denver, CO: Denver International",Weather,11
"Des Moines, IA: Des Moines International",Weather,1
"Detroit, MI: Detroit Metro Wayne County",Carrier,17
"Devils Lake, ND: Devils Lake Regional","National Air System",2
"Duluth, MN: Duluth International",Weather,15
"Erie, PA: Erie International/Tom Ridge Field",Weather,1
"Fairbanks, AK: Fairbanks International",Carrier,3
"Fayetteville, AR: Northwest Arkansas Regional",Carrier,1
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Carrier,4
"Fort Myers, FL: Southwest Florida International",Carrier,1
"Fort Wayne, IN: Fort Wayne International",Carrier,1
"Fort Wayne, IN: Fort Wayne International",Weather,1
"Fresno, CA: Fresno Yosemite International",Weather,2
"Gillette, WY: Gillette Campbell County",Weather,1
"Grand Forks, ND: Grand Forks International",Weather,1
"Grand Rapids, MI: Gerald R. Ford International",Carrier,1
"Grand Rapids, MI: Gerald R. Ford International",Weather,1
"Greensboro/High Point, NC: Piedmont Triad International","National Air System",1
"Hancock/Houghton, MI: Houghton County Memorial",Weather,3
"Harrisburg, PA: Harrisburg International",Carrier,1
"Hartford, CT: Bradley International",Carrier,2
"Hibbing, MN: Range Regional",Weather,1
"Hilo, HI: Hilo International",Carrier,3
"Honolulu, HI: Daniel K Inouye International",Carrier,13
"Houston, TX: George Bush Intercontinental/Houston",Carrier,2
"Houston, TX: William P Hobby",Carrier,8
